@relation InstanceResultListener

@attribute Key_Dataset {Will_User_like_company}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 3\nSize of the tree: 5\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

Will_User_like_company,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20160124.2036,18,3,2,1,0,66.666667,33.333333,0,0.5,0.244444,0.473756,55,92.372932,6.533096,1074.152003,-1067.618907,2.177699,358.050668,-355.872969,1.918386,0.639462,156.147087,1,1,0,0,1,2,0,0,1,1,1,1,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.75,0.015,0.002,0.011871,0.001818,5586,6377,4142,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
Will_User_like_company,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20160124.2036,19,2,2,0,0,100,0,0,1,0.07037,0.086305,19.351852,20.883035,2.275007,0.321928,1.953079,1.137504,0.160964,0.976539,1.953079,0.976539,144.824001,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.003,0,0.003293,0.00008,5586,6526,3993,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
Will_User_like_company,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20160124.2036,19,2,1,1,0,50,50,0,0,0.333333,0.522813,91.666667,126.503857,2.275007,3.473931,-1.198924,1.137504,1.736966,-0.599462,0.263034,0.131517,19.504432,1,1,1,1,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0.003,0,0.003467,0.000081,5586,6526,3993,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
Will_User_like_company,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20160124.2036,19,2,1,1,0,50,50,0,0,0.333333,0.57735,91.666667,139.70014,2.275007,1074,-1071.724993,1.137504,537,-535.862496,0.263034,0.131517,19.504432,1,1,1,1,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0.004,0,0.003934,0.000081,5987,6526,3993,'Number of leaves: 3\nSize of the tree: 5\n',5,3,3
Will_User_like_company,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20160124.2036,19,2,1,1,0,50,50,0,0,0.333333,0.57735,91.666667,139.70014,2.275007,1074,-1071.724993,1.137504,537,-535.862496,0.263034,0.131517,19.504432,1,1,1,1,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0.003,0,0.002435,0.000085,5586,6526,3993,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
Will_User_like_company,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20160124.2036,19,2,2,0,0,100,0,0,1,0.07037,0.086305,19.351852,20.883035,2.275007,0.321928,1.953079,1.137504,0.160964,0.976539,1.953079,0.976539,144.824001,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.003,0,0.002622,0.000054,5586,6526,3993,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
Will_User_like_company,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20160124.2036,19,2,2,0,0,100,0,0,1,0.07037,0.086305,19.351852,20.883035,2.275007,0.321928,1.953079,1.137504,0.160964,0.976539,1.953079,0.976539,144.824001,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.003,0,0.00304,0.000077,5586,6526,3993,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
Will_User_like_company,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20160124.2036,19,2,2,0,0,100,0,0,1,0.07037,0.086305,19.351852,20.883035,2.275007,0.321928,1.953079,1.137504,0.160964,0.976539,1.953079,0.976539,144.824001,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.002,0,0.002338,0.000051,5586,6526,3993,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
Will_User_like_company,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20160124.2036,19,2,2,0,0,100,0,0,1,0.07037,0.086305,19.351852,20.883035,2.275007,0.321928,1.953079,1.137504,0.160964,0.976539,1.953079,0.976539,144.824001,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.003,0,0.00217,0.000066,5586,6526,3993,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
